"RevisionKey","Repo","Abbreviation","WorkshopId","CatalogueArchiveId","CatalogueUrl","SkymodsTitle","NewestOrdinal","IsCurrentRevision","RawDisplayedTime","NormalizedUtcTime","TimeParsed","DownloadUrl","PageReferenceYear","RawPageSha256","ContentVerified"
"2220098919|15","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","15","False","24 Sep, 2024 at 17:59 UTC","2024-09-24 17:59","True","https://modsbase.com/f56t68dvcw5j/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|16","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","16","False","4 Mar, 2024 at 19:54 UTC","2024-03-04 19:54","True","https://modsbase.com/leeduli5poai/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|17","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","17","False","6 Feb, 2024 at 17:33 UTC","2024-02-06 17:33","True","https://modsbase.com/jz8fuvaxma4n/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|18","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","18","False","23 Jan, 2024 at 14:51 UTC","2024-01-23 14:51","True","https://modsbase.com/thzwywrcosej/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|19","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","19","False","16 Nov, 2023 at 10:34 UTC","2023-11-16 10:34","True","https://modsbase.com/lqbqt21hff0s/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|20","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","20","False","9 Nov, 2023 at 18:03 UTC","2023-11-09 18:03","True","https://modsbase.com/h3lh5rnc950y/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|21","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","21","False","22 Aug, 2023 at 15:41 UTC","2023-08-22 15:41","True","https://modsbase.com/ji6ovfu48clk/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|22","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","22","False","15 Jun, 2023 at 12:50 UTC","2023-06-15 12:50","True","https://modsbase.com/1qvne2ux4v71/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|23","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","23","False","6 Jun, 2023 at 17:02 UTC","2023-06-06 17:02","True","https://modsbase.com/6u1nh5rq4nmz/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|24","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","24","False","30 May, 2023 at 16:43 UTC","2023-05-30 16:43","True","https://modsbase.com/j72flcz6ow20/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|25","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","25","False","16 May, 2023 at 19:31 UTC","2023-05-16 19:31","True","https://modsbase.com/aanrujy521h0/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|26","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","26","False","14 May, 2023 at 10:31 UTC","2023-05-14 10:31","True","https://modsbase.com/od1h0nanm7xk/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|27","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","27","False","11 May, 2023 at 18:47 UTC","2023-05-11 18:47","True","https://modsbase.com/j358tb33axk8/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|28","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","28","False","4 Apr, 2023 at 20:29 UTC","2023-04-04 20:29","True","https://modsbase.com/ll87k8m0ubzx/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|29","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","29","False","4 Mar, 2023 at 15:59 UTC","2023-03-04 15:59","True","https://modsbase.com/y2yrq544ck0h/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|30","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","30","False","1 Dec, 2022 at 19:47 UTC","2022-12-01 19:47","True","https://modsbase.com/7gxtw6nlvf1s/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|31","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","31","False","20 Nov, 2022 at 10:36 UTC","2022-11-20 10:36","True","https://modsbase.com/2wmfdy6u059k/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|32","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","32","False","1 Nov, 2022 at 14:22 UTC","2022-11-01 14:22","True","https://modsbase.com/w9brr2fxzeta/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
