"Source","Repo","Abbreviation","WorkshopId","Extension","FileCount","TotalMiB","MaxFileMiB","SampleText","SampleBinary","SampleUnknown","Classification"
"LocalRepoWorkingTree","Culture-Expanded","CE","2829397295",".ttf","2","0,275","0,14","0","2","0","Binary"
"LocalRepoWorkingTree","Culture-Expanded","CE","2829397295",".txt","296","2,895","0,09","12","0","0","Text"
"LocalRepoWorkingTree","Culture-Expanded","CE","2829397295",".yaml","1","0,002","0,002","1","0","0","Text"
"LocalRepoWorkingTree","Culture-Expanded","CE","2829397295",".yml","338","5,945","0,377","12","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".dds","145","29,023","9,847","0","12","0","Binary"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".gui","1","0,005","0,005","1","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".info","1","0,002","0,002","1","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".otf","6","0,668","0,147","0","6","0","Binary"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".pdf","1","0,048","0,048","0","1","0","Binary"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".png","1","0,65","0,65","0","1","0","Binary"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".ttf","2","0,275","0,14","0","2","0","Binary"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".txt","296","2,895","0,09","12","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".yaml","1","0,002","0,002","1","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295",".yml","338","5,945","0,377","12","0","0","Text"
"SteamWorkshopCurrent","Culture-Expanded","CE","2829397295","<no-extension>","893","2,905","0,138","0","12","0","Binary"
"LocalRepoWorkingTree","Demand-Tribute","DT","3473488611",".info","1","0,026","0,026","1","0","0","Text"
"LocalRepoWorkingTree","Demand-Tribute","DT","3473488611",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Demand-Tribute","DT","3473488611",".png","1","0,408","0,408","0","1","0","Binary"
"LocalRepoWorkingTree","Demand-Tribute","DT","3473488611",".txt","5","0,067","0,034","5","0","0","Text"
"LocalRepoWorkingTree","Demand-Tribute","DT","3473488611",".yml","8","0,031","0,004","8","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".gitattributes","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".info","1","0,026","0,026","1","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".md","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".png","1","0,408","0,408","0","1","0","Binary"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".txt","5","0,067","0,034","5","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611",".yml","8","0,031","0,004","8","0","0","Text"
"SteamWorkshopCurrent","Demand-Tribute","DT","3473488611","<no-extension>","165","2,294","1,788","1","11","0","Mixed"
"LocalRepoWorkingTree","EPE-CFP","EPE-CFP","2996881191",".mod","1","0","0","1","0","0","Text"
