"Source","Repo","Abbreviation","WorkshopId","Extension","FileCount","TotalMiB","MaxFileMiB","SampleText","SampleBinary","SampleUnknown","Classification"
"LocalRepoWorkingTree","Turkic-World-Expanded","TWE","3668769244",".txt","35","0,697","0,093","12","0","0","Text"
"LocalRepoWorkingTree","Turkic-World-Expanded","TWE","3668769244",".yml","5","0,002","0,001","5","0","0","Text"
"SteamWorkshopCurrent","Turkic-World-Expanded","TWE","3668769244",".jpg","1","0,244","0,244","0","1","0","Binary"
"SteamWorkshopCurrent","Turkic-World-Expanded","TWE","3668769244",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Turkic-World-Expanded","TWE","3668769244",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","Turkic-World-Expanded","TWE","3668769244",".txt","26","1,215","0,199","12","0","0","Text"
"SteamWorkshopCurrent","Turkic-World-Expanded","TWE","3668769244",".yml","2","0,001","0,001","2","0","0","Text"
"SteamWorkshopCurrent","Turkic-World-Expanded","TWE","3668769244","<no-extension>","80","0,554","0,429","0","12","0","Binary"
"LocalRepoWorkingTree","Western-Steppe-Expanded","WSE","3490396842",".dds","17","12,582","1,978","0","12","0","Binary"
"LocalRepoWorkingTree","Western-Steppe-Expanded","WSE","3490396842",".gitignore","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Western-Steppe-Expanded","WSE","3490396842",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Western-Steppe-Expanded","WSE","3490396842",".png","1","0,329","0,329","0","1","0","Binary"
"LocalRepoWorkingTree","Western-Steppe-Expanded","WSE","3490396842",".txt","136","0,95","0,151","12","0","0","Text"
"LocalRepoWorkingTree","Western-Steppe-Expanded","WSE","3490396842",".yml","25","0,026","0,004","12","0","0","Text"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842",".dds","17","12,582","1,978","0","12","0","Binary"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842",".png","1","0,329","0,329","0","1","0","Binary"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842",".txt","136","0,95","0,151","12","0","0","Text"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842",".yml","25","0,026","0,004","12","0","0","Text"
"SteamWorkshopCurrent","Western-Steppe-Expanded","WSE","3490396842","<no-extension>","308","0,373","0,056","0","12","0","Binary"
