"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsNewestOrdinal","SkymodsIsCurrentRevision","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","SkymodsDownloadUrl","Category","VerificationPriority","FirstPassRecommended","RelatedSteamEventCount","RelatedSteamEventKeys","RelatedGitCommitCount","RelatedGitCommitShas","Reason","ContentDownloaded","ContentVerified"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","7","False","15 Dec, 2025 at 02:59 UTC","2025-12-15 02:59","https://modsbase.com/olcppu8hsmb9/2507209632_Ethnicities___Portraits_Expanded.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2507209632|10","3","bea606d31f179e2f4e6552ab88b613bbe6bf4619|f80b05bd4c1d6488d1f1bdefa6839f9bdb003813|6da86181eb50d0403af87630acec947f1742ebdb","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top","False","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","8","False","18 Nov, 2025 at 03:25 UTC","2025-11-18 03:25","https://modsbase.com/m7fo2c6yy6gu/2507209632_Ethnicities___Portraits_Expanded.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2507209632|12","2","541b16c138e3574ce547b5a4a43ef3cfdf215854|b36c5a961967d25e197c816b18a6aaf7eaa0428c","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","9","False","10 Nov, 2025 at 22:47 UTC","2025-11-10 22:47","https://modsbase.com/aq5b2ud03roj/2507209632_Ethnicities___Portraits_Expanded.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2507209632|15","1","b36c5a961967d25e197c816b18a6aaf7eaa0428c","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity","False","False"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","3","False","13 Mar at 04:46 UTC","2026-03-13 04:46","https://modsbase.com/8cvmt9250w77/2543865921_MB___EPE_CFP.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2543865921|5","1","c86a00c074ec2900035bcd8cca81c850b38d6a3c","steam-git-event-ambiguity","False","False"
"MPE","MPE","3726274827","3726274827|2","2","False","10 Jul at 07:39 UTC","2026-07-10 07:39","https://modsbase.com/ozqvpzck2zeq/3726274827_MPE_for_AUH_-beta.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","3726274827|2","1","3273a06395ca26775180f80c19adcba89fbe4fe3","steam-git-event-ambiguity","False","False"
"MPE","MPE","3726274827","3726274827|4","4","False","21 May at 05:40 UTC","2026-05-21 05:40","https://modsbase.com/ktxf2lhbk3wd/3726274827_MPE_for_AUH_-beta.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","3726274827|5","3","2b645ef19806ff0fc1030944bba5f607da2e25d8|c88f6de5838518fb3721392953db7bf1e47afc59|bda26e2f7f05946fad97191229afe72c6d9a3f9e","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"MPE","MPE","3726274827","3726274827|5","5","False","17 May at 09:34 UTC","2026-05-17 09:34","https://modsbase.com/fikx718bjfc3/3726274827_MPE_for_AUH_-beta.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","3726274827|7","3","c88f6de5838518fb3721392953db7bf1e47afc59|bda26e2f7f05946fad97191229afe72c6d9a3f9e|2b645ef19806ff0fc1030944bba5f607da2e25d8","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|1","1","True","26 Jul at 19:25 UTC","2026-07-26 19:25","https://modsbase.com/736skdu5927p/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|2","1","9a3484844539b6a48bad484b98d189216412077d","git-commit-has-multiple-archive-candidates","False","False"
"RICE","RICE","2273832430","2273832430|2","2","False","10 Jul at 18:40 UTC","2026-07-10 18:40","https://modsbase.com/7lseipc8ntnr/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|3","1","9a8ce64d80233a6e638a628b3db4bbcea64c3ebb","git-commit-has-multiple-archive-candidates","False","False"
"RICE","RICE","2273832430","2273832430|3","3","False","15 May at 20:16 UTC","2026-05-15 20:16","https://modsbase.com/7a326n6huexz/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|4","1","4615a5c22b57137e721bbc088bf3847b0b524045","git-commit-has-multiple-archive-candidates","False","False"
