"Repo","Abbreviation","WorkshopId","Extension","FileCount","TextCount","BinaryCount","UnknownCount","Classification","TotalMiB","MaxFileMiB"
"MPE","MPE","3726274827",".dds","5120","0","5120","0","Binary","372,487","4,747"
"MPE","MPE","3726274827",".gitignore","1","1","0","0","Text","0","0"
"MPE","MPE","3726274827",".info","3","3","0","0","Text","0,004","0,002"
"MPE","MPE","3726274827",".jpg","1","0","1","0","Binary","0,062","0,062"
"MPE","MPE","3726274827",".map","1","1","0","0","Text","0,022","0,022"
"MPE","MPE","3726274827",".mod","1","1","0","0","Text","0","0"
"MPE","MPE","3726274827",".png","32","0","32","0","Binary","5,492","2,964"
"MPE","MPE","3726274827",".tga","1","0","1","0","Binary","0,095","0,095"
"MPE","MPE","3726274827",".txt","451","451","0","0","Text","52,784","3,968"
"MPE","MPE","3726274827",".yml","57","57","0","0","Text","9,579","1,143"
"RICE","RICE","2273832430",".asset","2","2","0","0","Text","0,004","0,002"
"RICE","RICE","2273832430",".dds","1968","0","1968","0","Binary","738,075","7,91"
"RICE","RICE","2273832430",".gitignore","1","1","0","0","Text","0","0"
"RICE","RICE","2273832430",".gui","67","67","0","0","Text","0,136","0,007"
"RICE","RICE","2273832430",".jpg","2","0","2","0","Binary","1,749","1,321"
"RICE","RICE","2273832430",".mesh","2","0","2","0","Binary","1,972","1,378"
"RICE","RICE","2273832430",".mod","1","1","0","0","Text","0","0"
"RICE","RICE","2273832430",".ogg","241","0","241","0","Binary","505,633","7,981"
"RICE","RICE","2273832430",".png","1","0","1","0","Binary","0,277","0,277"
"RICE","RICE","2273832430",".txt","1357","1357","0","0","Text","15,804","0,458"
"RICE","RICE","2273832430",".xcf","1","0","1","0","Binary","0,115","0,115"
"RICE","RICE","2273832430",".yml","777","777","0","0","Text","42,862","0,465"
"Special-World","SW","2875587269","._defunctmesh","1","0","1","0","Binary","2,189","2,189"
"Special-World","SW","2875587269",".anim","25","0","25","0","Binary","1,894","0,302"
"Special-World","SW","2875587269",".asset","276","276","0","0","Text","1,671","1,316"
"Special-World","SW","2875587269",".dds","1875","0","1875","0","Binary","1389,792","21,333"
"Special-World","SW","2875587269",".ds_store","1","0","1","0","Binary","0,014","0,014"
"Special-World","SW","2875587269",".gitignore","1","1","0","0","Text","0","0"
"Special-World","SW","2875587269",".gui","4","4","0","0","Text","0,15","0,117"
"Special-World","SW","2875587269",".info","2","2","0","0","Text","0,378","0,269"
"Special-World","SW","2875587269",".mesh","491","0","491","0","Binary","355,942","15,372"
"Special-World","SW","2875587269",".mod","1","1","0","0","Text","0","0"
"Special-World","SW","2875587269",".pdn","2","2","0","0","Text","2,939","2,528"
"Special-World","SW","2875587269",".png","21","0","21","0","Binary","14,312","0,895"
"Special-World","SW","2875587269",".tif","1","0","1","0","Binary","0,716","0,716"
"Special-World","SW","2875587269",".txt","241","241","0","0","Text","18,448","2,305"
"Special-World","SW","2875587269",".yml","41","41","0","0","Text","1,765","0,475"
"Turkic-World-Expanded","TWE","3668769244",".jpg","1","0","1","0","Binary","0,244","0,244"
"Turkic-World-Expanded","TWE","3668769244",".mod","1","1","0","0","Text","0","0"
"Turkic-World-Expanded","TWE","3668769244",".txt","26","26","0","0","Text","1,215","0,199"
"Turkic-World-Expanded","TWE","3668769244",".yml","2","2","0","0","Text","0,001","0,001"
"Western-Steppe-Expanded","WSE","3490396842",".dds","17","0","17","0","Binary","12,582","1,978"
"Western-Steppe-Expanded","WSE","3490396842",".gitignore","1","1","0","0","Text","0","0"
"Western-Steppe-Expanded","WSE","3490396842",".mod","1","1","0","0","Text","0","0"
"Western-Steppe-Expanded","WSE","3490396842",".png","1","0","1","0","Binary","0,329","0,329"
"Western-Steppe-Expanded","WSE","3490396842",".txt","136","136","0","0","Text","0,95","0,151"
"Western-Steppe-Expanded","WSE","3490396842",".yml","25","25","0","0","Text","0,026","0,004"
