"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","ModsbasePageUrl","DownloadMethod","ArchiveCachePath","ArchiveBytes","ArchiveMiB","ArchiveSha256","ArchiveFileCount","ArchiveRootSelection","Downloaded","Extracted"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","14 Nov, 2025 at 19:43 UTC","2025-11-14 19:43","https://modsbase.com/27ckb5ypg3ls/3206891770__Kei__Culture_and_Faith_Granularity.zip.html","CACHE","analysis/cache/08-archive-content-pilot/archives/3206891770_2.zip","1127292","1,075","cb2d37d94e98c95a4597af10e2b28798e486343349a56dccc71c1896c5f05ccc","246","EXPECTED_WORKSHOP_ID","True","True"
"Culture-Expanded","CE","2829397295","2829397295|3","26 Apr at 18:08 UTC","2026-04-26 18:08","https://modsbase.com/uw211c5pdxon/2829397295_Culture_Expanded.zip.html","CACHE","analysis/cache/08-archive-content-pilot/archives/2829397295_3.zip","16097297","15,352","da28c5050f2e552bf2a0e914218b963e8e68ea0340edb89d89b045c7f37e0798","793","EXPECTED_WORKSHOP_ID","True","True"
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","28 Apr at 12:48 UTC","2026-04-28 12:48","https://modsbase.com/rjwvsg632vic/2996881191_CFP___EPE_Compatibility_Patch.zip.html","CACHE","analysis/cache/08-archive-content-pilot/archives/2996881191_3.zip","822849","0,785","013cb80cef1d3a2bd2b2682574e4d5f3f46be48c46054dd3f8b577baaf3cade8","48","EXPECTED_WORKSHOP_ID","True","True"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","13 Mar at 04:46 UTC","2026-03-13 04:46","https://modsbase.com/8cvmt9250w77/2543865921_MB___EPE_CFP.zip.html","CACHE","analysis/cache/08-archive-content-pilot/archives/2543865921_3.zip","1201634","1,146","46cf8459443da6108268d72be63d666804d25f2fae409bb5df90cbb9e5ce7584","316","EXPECTED_WORKSHOP_ID","True","True"
