"Repo","WorkshopId","SkymodsRevisionKey","CandidateGitCommitCount","ExactProjectedGitMatchCount","MatchedGitCommitShas","VerificationStatus"
"Culture-and-Faith-Granularity","3206891770","3206891770|2","1","1","2e2602f56ee08890cc915690989b121c299ca8d0","UNIQUE_PROJECTED_GIT_MATCH"
"Culture-Expanded","2829397295","2829397295|3","2","1","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","UNIQUE_PROJECTED_GIT_MATCH"
"EPE-CFP","2996881191","2996881191|3","2","1","dbebe469551c494e9481693a5ef74dcc847c77b7","UNIQUE_PROJECTED_GIT_MATCH"
"MBP-EPE-CFP","2543865921","2543865921|3","1","1","c86a00c074ec2900035bcd8cca81c850b38d6a3c","UNIQUE_PROJECTED_GIT_MATCH"
