"EventKey","Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","VerificationStatus","CandidateGitCommitCount","ExactProjectedGitMatchCount","MatchedGitCommitShas","DescriptorWorkshopIdMatches","DescriptorCountInArchive","DescriptorRemoteFileId","AlignmentFound","DominantTemporalAlignment","BidirectionalUniqueAlignment","TemporalPairStatus","ObservedOffsetHours","ArchiveSha256","DuplicateArchiveCount","DuplicateArchiveRevisionKeys","DescriptorOnlyNearMatchCount","DescriptorOnlyNearMatchGitShas","Analysis07Reason"
"2507209632|12","Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","UNIQUE_PROJECTED_GIT_MATCH","2","1","541b16c138e3574ce547b5a4a43ef3cfdf215854","True","1","2507209632","True","True","True","BIDIRECTIONAL_UNIQUE","8","7ee59b0a3c0a8459a298f9b466bf87f43aa7c9447c50ecbf7c0d91d3b0dfe384","1","2507209632|8","0","","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2507209632|15","Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","NO_PROJECTED_GIT_MATCH","1","0","","True","1","2507209632","True","True","True","BIDIRECTIONAL_UNIQUE","8","b8551ccd90df77550b96c73424efec8ede854d674495a2a118d0690e8e99aedd","1","2507209632|9","1","b36c5a961967d25e197c816b18a6aaf7eaa0428c","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"2543865921|5","MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","UNIQUE_PROJECTED_GIT_MATCH","1","1","c86a00c074ec2900035bcd8cca81c850b38d6a3c","True","1","2543865921","True","True","True","BIDIRECTIONAL_UNIQUE","7","46cf8459443da6108268d72be63d666804d25f2fae409bb5df90cbb9e5ce7584","1","2543865921|3","0","","steam-git-event-ambiguity"
"3726274827|2","MPE","MPE","3726274827","3726274827|2","UNIQUE_PROJECTED_GIT_MATCH","1","1","3273a06395ca26775180f80c19adcba89fbe4fe3","True","1","3726274827","True","True","True","BIDIRECTIONAL_UNIQUE","7","9135bce9f6b8133a9db25f8c5334946c233f9c326dec2b594fce2e9151f6b535","1","3726274827|2","0","","steam-git-event-ambiguity"
"3726274827|5","MPE","MPE","3726274827","3726274827|4","UNIQUE_PROJECTED_GIT_MATCH","3","1","2b645ef19806ff0fc1030944bba5f607da2e25d8","True","1","3726274827","True","True","True","BIDIRECTIONAL_UNIQUE","7","49e4abef6771d21dcddfc679d29a7925f7021b24fea3ba9dd1337810b962f2e2","1","3726274827|4","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"3726274827|7","MPE","MPE","3726274827","3726274827|5","UNIQUE_PROJECTED_GIT_MATCH","3","1","bda26e2f7f05946fad97191229afe72c6d9a3f9e","True","1","3726274827","True","True","True","BIDIRECTIONAL_UNIQUE","7","04097b7a7de14fafa9ae4543784044dc3c88439ea66575c0f149a0a989ad61e1","1","3726274827|5","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2273832430|2","RICE","RICE","2273832430","2273832430|1","UNIQUE_PROJECTED_GIT_MATCH","1","1","9a3484844539b6a48bad484b98d189216412077d","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","7","48001e9c501a03f094dac84d0fa72f2145c2a61055deb6f1843c61aa773e5609","1","2273832430|1","0","","git-commit-has-multiple-archive-candidates"
"2273832430|3","RICE","RICE","2273832430","2273832430|2","UNIQUE_PROJECTED_GIT_MATCH","1","1","9a8ce64d80233a6e638a628b3db4bbcea64c3ebb","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","7","37ecae29570b75a882cd119ca9dadca796c0ddd4b9d58c23b83111d30197e3e4","1","2273832430|2","0","","git-commit-has-multiple-archive-candidates"
"2273832430|4","RICE","RICE","2273832430","2273832430|3","UNIQUE_PROJECTED_GIT_MATCH","1","1","4615a5c22b57137e721bbc088bf3847b0b524045","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","7","43da75962959d987834620c0637188494593629ba069c92508e6bde6a114c441","1","2273832430|3","0","","git-commit-has-multiple-archive-candidates"
"2273832430|5","RICE","RICE","2273832430","2273832430|4","UNIQUE_PROJECTED_GIT_MATCH","2","1","d3f0ed7d2ba5c7fe349d23e4c90bd7bfdf25b5a4","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","7","1dacf3052a26d8fc17800976ec016d50c58476c3dd80cb4ee20fd166944078dd","1","2273832430|4","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
