"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","ModsbasePageUrl","DownloadMethod","ArchiveCachePath","ArchiveBytes","ArchiveMiB","ArchiveSha256","ArchiveFileCount","ArchiveRootSelection"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2220098919_3.zip","1039862786","991,69","2fda79b5c4bc80de76c37a7a35ebd266a78546edca0512f53658882a073114ed","3073","EXPECTED_WORKSHOP_ID"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","18 Nov, 2025 at 03:25 UTC","2025-11-18 03:25","https://modsbase.com/m7fo2c6yy6gu/2507209632_Ethnicities___Portraits_Expanded.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2507209632_8.zip","1594696132","1520,821","7ee59b0a3c0a8459a298f9b466bf87f43aa7c9447c50ecbf7c0d91d3b0dfe384","9333","EXPECTED_WORKSHOP_ID"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","10 Nov, 2025 at 22:47 UTC","2025-11-10 22:47","https://modsbase.com/aq5b2ud03roj/2507209632_Ethnicities___Portraits_Expanded.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2507209632_9.zip","1592487028","1518,714","b8551ccd90df77550b96c73424efec8ede854d674495a2a118d0690e8e99aedd","9321","EXPECTED_WORKSHOP_ID"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","13 Mar at 04:46 UTC","2026-03-13 04:46","https://modsbase.com/8cvmt9250w77/2543865921_MB___EPE_CFP.zip.html","ANALYSIS08_CACHE","analysis/cache/09-first-pass-archive-verification/archives/2543865921_3.zip","1201634","1,146","46cf8459443da6108268d72be63d666804d25f2fae409bb5df90cbb9e5ce7584","316","EXPECTED_WORKSHOP_ID"
"MPE","MPE","3726274827","3726274827|2","10 Jul at 07:39 UTC","2026-07-10 07:39","https://modsbase.com/ozqvpzck2zeq/3726274827_MPE_for_AUH_-beta.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/3726274827_2.zip","59022528","56,288","9135bce9f6b8133a9db25f8c5334946c233f9c326dec2b594fce2e9151f6b535","5668","EXPECTED_WORKSHOP_ID"
"MPE","MPE","3726274827","3726274827|4","21 May at 05:40 UTC","2026-05-21 05:40","https://modsbase.com/ktxf2lhbk3wd/3726274827_MPE_for_AUH_-beta.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/3726274827_4.zip","59495773","56,74","49e4abef6771d21dcddfc679d29a7925f7021b24fea3ba9dd1337810b962f2e2","5639","EXPECTED_WORKSHOP_ID"
"MPE","MPE","3726274827","3726274827|5","17 May at 09:34 UTC","2026-05-17 09:34","https://modsbase.com/fikx718bjfc3/3726274827_MPE_for_AUH_-beta.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/3726274827_5.zip","58643250","55,927","04097b7a7de14fafa9ae4543784044dc3c88439ea66575c0f149a0a989ad61e1","5631","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|1","26 Jul at 19:25 UTC","2026-07-26 19:25","https://modsbase.com/736skdu5927p/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_1.zip","843301084","804,235","48001e9c501a03f094dac84d0fa72f2145c2a61055deb6f1843c61aa773e5609","4418","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|2","10 Jul at 18:40 UTC","2026-07-10 18:40","https://modsbase.com/7lseipc8ntnr/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_2.zip","842512000","803,482","37ecae29570b75a882cd119ca9dadca796c0ddd4b9d58c23b83111d30197e3e4","4420","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|3","15 May at 20:16 UTC","2026-05-15 20:16","https://modsbase.com/7a326n6huexz/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_3.zip","835864893","797,143","43da75962959d987834620c0637188494593629ba069c92508e6bde6a114c441","4328","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|4","2 May at 22:53 UTC","2026-05-02 22:53","https://modsbase.com/znh2er7kc3na/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_4.zip","822621101","784,513","1dacf3052a26d8fc17800976ec016d50c58476c3dd80cb4ee20fd166944078dd","4318","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|5","28 Mar at 17:29 UTC","2026-03-28 17:29","https://modsbase.com/8ik6kdbwiiv4/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_5.zip","821261487","783,216","d9e5b3b686cbfef2b8657eb5a6003f72e86eed97d813c7668348845c8d24ea23","4112","EXPECTED_WORKSHOP_ID"
