"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","RelatedSteamEventCount","RelatedSteamEventKeys","CandidateGitCommitCount","ExactProjectedGitMatchCount","MatchedGitCommitShas","VerificationStatus","Analysis07Reason"
"RICE","RICE","2273832430","2273832430|5","1","2273832430|7","1","1","857b1d0f4a5be85306d3c9bc9658f8da21a8b0d7","UNIQUE_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates"
"RICE","RICE","2273832430","2273832430|6","1","2273832430|8","3","1","e2f5f564b25bd86dd6517cc40bf7442475aed41c","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"RICE","RICE","2273832430","2273832430|7","1","2273832430|9","3","1","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"RICE","RICE","2273832430","2273832430|8","1","2273832430|10","2","1","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"RICE","RICE","2273832430","2273832430|9","1","2273832430|11","3","1","3fccb9af9d3a57422f919b096eee2e1f9aca1f88","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"RICE","RICE","2273832430","2273832430|10","1","2273832430|12","3","1","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"RICE","RICE","2273832430","2273832430|11","1","2273832430|13","4","1","928fd31902aae67f7ed963ea988f98ed8a9746b2","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"RICE","RICE","2273832430","2273832430|29","1","2273832430|36","15","0","","NO_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|1","1","2875587269|1","2","1","62f33e63129a4196cf45d750c5c4f9316cd368fe","UNIQUE_PROJECTED_GIT_MATCH","current-head-evidence; archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|2","1","2875587269|6","2","0","","NO_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|3","1","2875587269|16","3","1","83032b87bb5b0f3ab378fb348fa4610f3ed71110","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|5","1","2875587269|22","3","1","1eeaf8d51248fc7c41d8340a9ce7353020550954","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|6","1","2875587269|23","6","1","d78a822ab3d7e0eae87367e2a2230fd7ef0b7090","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|7","1","2875587269|30","3","1","079d5a19aae0272124debd3075f1be8c94c2a127","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|8","1","2875587269|31","4","1","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|9","1","2875587269|32","4","1","7a988841a4ba8a4aaf107e9a743a9127443de517","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|10","1","2875587269|36","4","1","82f9a80b847cebb359e9b8797be9b85058fc99e7","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|11","1","2875587269|38","4","1","be266d10ef71a8ae6d1b26920fcb063039aa7d5c","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|12","1","2875587269|43","2","0","","NO_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|13","1","2875587269|45","2","1","fc1bca8d5e65a0a82dfb0ac58e4d4858ed83afac","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|14","1","2875587269|46","2","1","688be509388ead75fa299018dcdde17ba4c8f5f5","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|15","1","2875587269|47","2","1","59197499171ff9f910d90d8b03407b7388b43847","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|16","1","2875587269|48","3","1","825da8e0f5e4b60f964301e80c5665a8a8426fc2","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|17","1","2875587269|50","2","1","bd48aaacb89f48226bbaf66fad12ba33907e5c46","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Special-World","SW","2875587269","2875587269|18","1","2875587269|51","1","0","","NO_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates"
"Special-World","SW","2875587269","2875587269|19","1","2875587269|52","1","0","","NO_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"Special-World","SW","2875587269","2875587269|23","1","2875587269|58","1","0","","NO_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"Special-World","SW","2875587269","2875587269|24","1","2875587269|59","1","0","","NO_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"Special-World","SW","2875587269","2875587269|25","1","2875587269|60","1","1","8cff9607cb4a5bbf4772156f15f62b5564764df4","UNIQUE_PROJECTED_GIT_MATCH","steam-git-event-ambiguity"
