"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","VerificationPriority","State","AttemptCount","CompletedAt","VerificationStatus","MatchedGitCommitShas","DownloadMethod","ErrorMessage"
"RICE","RICE","2273832430","2273832430|7","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:40:43","UNIQUE_PROJECTED_GIT_MATCH","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|8","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:48:35","UNIQUE_PROJECTED_GIT_MATCH","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|9","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:56:22","UNIQUE_PROJECTED_GIT_MATCH","3fccb9af9d3a57422f919b096eee2e1f9aca1f88","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|10","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 11:06:42","UNIQUE_PROJECTED_GIT_MATCH","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|11","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 11:17:39","UNIQUE_PROJECTED_GIT_MATCH","928fd31902aae67f7ed963ea988f98ed8a9746b2","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|29","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 11:25:25","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|1","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 12:20:04","UNIQUE_PROJECTED_GIT_MATCH","62f33e63129a4196cf45d750c5c4f9316cd368fe","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|2","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 11:46:08","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|3","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 11:55:44","UNIQUE_PROJECTED_GIT_MATCH","83032b87bb5b0f3ab378fb348fa4610f3ed71110","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|5","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:07:44","UNIQUE_PROJECTED_GIT_MATCH","1eeaf8d51248fc7c41d8340a9ce7353020550954","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|6","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:16:13","UNIQUE_PROJECTED_GIT_MATCH","d78a822ab3d7e0eae87367e2a2230fd7ef0b7090","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|7","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:25:27","UNIQUE_PROJECTED_GIT_MATCH","079d5a19aae0272124debd3075f1be8c94c2a127","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|8","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:31:24","UNIQUE_PROJECTED_GIT_MATCH","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|9","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:38:14","UNIQUE_PROJECTED_GIT_MATCH","7a988841a4ba8a4aaf107e9a743a9127443de517","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|10","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:43:49","UNIQUE_PROJECTED_GIT_MATCH","82f9a80b847cebb359e9b8797be9b85058fc99e7","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|11","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:48:55","UNIQUE_PROJECTED_GIT_MATCH","be266d10ef71a8ae6d1b26920fcb063039aa7d5c","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|12","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:55:04","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|13","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 12:59:06","UNIQUE_PROJECTED_GIT_MATCH","fc1bca8d5e65a0a82dfb0ac58e4d4858ed83afac","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|14","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:03:20","UNIQUE_PROJECTED_GIT_MATCH","688be509388ead75fa299018dcdde17ba4c8f5f5","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|15","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:06:54","UNIQUE_PROJECTED_GIT_MATCH","59197499171ff9f910d90d8b03407b7388b43847","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|16","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:10:53","UNIQUE_PROJECTED_GIT_MATCH","825da8e0f5e4b60f964301e80c5665a8a8426fc2","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|17","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:15:09","UNIQUE_PROJECTED_GIT_MATCH","bd48aaacb89f48226bbaf66fad12ba33907e5c46","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|18","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:19:32","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|19","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:23:46","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|23","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:27:44","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|24","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:31:37","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Special-World","SW","2875587269","2875587269|25","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 13:36:30","UNIQUE_PROJECTED_GIT_MATCH","8cff9607cb4a5bbf4772156f15f62b5564764df4","CHROME_CDP",""
